gene	name	baseMean	log2_FC	lfcSE	stat	pvalue	padj	minus_log10_pvalue
YFR037C	RSC8	4473.206295	-0.030119648	0.101197895	0.297631167	0.765984684	0.999020118	0.000425766
YFR038W	IRC5	2277.003334	0.017869731	0.118209284	-0.151170288	0.879841388	0.999020118	0.000425766
YFR040W	SAP155	8285.640301	-0.332057704	0.109966728	3.019619758	0.002530922	0.216945453	0.663649448
YFR044C	DUG1	3649.279397	0.017072859	0.17439885	-0.097895477	0.922015292	0.999020118	0.000425766
YFR047C	BNA6	9853.562485	-0.041292726	0.199928087	0.206537893	0.836370769	0.999020118	0.000425766
YFR048W	RMD8	2857.350253	0.040265252	0.098924289	-0.407031002	0.683985219	0.999020118	0.000425766
YFR049W	YMR31	4334.172825	-0.009601006	0.191468261	0.050144111	0.960007548	0.999020118	0.000425766
YFR050C	PRE4	7626.285599	0.002400977	0.101481508	-0.023659261	0.981124402	0.999020118	0.000425766
YFR051C	RET2	4190.48786	-0.182889566	0.131959996	1.385947046	0.165763074	0.971081233	0.012744439
YFR052W	RPN12	3247.416401	-0.073421318	0.094911996	0.77357259	0.439183587	0.999020118	0.000425766
YFR053C	HXK1	19202.34667	-0.802437142	0.304712078	2.633427426	0.00845279	0.348860202	0.457348572
YFR055W	IRC7	4364.996974	0.542464193	0.217202603	-2.497503187	0.012507134	0.405120262	0.392416035
YGL001C	ERG26	3173.606337	-0.007493918	0.196306912	0.038174497	0.969548555	0.999020118	0.000425766
YGL003C	CDH1	4008.087606	-0.243575017	0.157666722	1.544872721	0.122377053	0.936945704	0.028285576
YGL005C	COG7	2538.326843	-0.02693339	0.137608742	0.195724408	0.844825879	0.999020118	0.000425766
YGL006W	PMC1	4310.081059	-0.589598689	0.21411284	2.753682076	0.005892898	0.307000696	0.51286064
YGL008C	PMA1	159557.5305	-0.017531731	0.169296572	0.103556327	0.917521447	0.999020118	0.000425766
YGL009C	LEU1	188179.8392	0.279191751	0.143158612	-1.950226725	0.051149102	0.766585502	0.115439399
YGL011C	SCL1	4999.583205	-0.141644688	0.134715451	1.051436097	0.293058344	0.999020118	0.000425766
YGL012W	ERG4	9908.521331	0.010949041	0.257348328	-0.042545607	0.966063755	0.999020118	0.000425766
YGL013C	PDR1	4112.480618	-0.083987727	0.135336808	0.620583032	0.534874007	0.999020118	0.000425766
YGL014W	PUF4	4365.936891	0.051273065	0.112880537	-0.454224139	0.64966751	0.999020118	0.000425766
YGL017W	ATE1	2164.995502	-0.024659115	0.150921862	0.16338995	0.870211415	0.999020118	0.000425766
YGL019W	CKB1	2594.436312	-0.112153177	0.08085505	1.387089326	0.165414526	0.971081233	0.012744439
YGL021W	ALK1	3048.417302	-0.063278614	0.165697163	0.381893167	0.702540609	0.999020118	0.000425766
