gene	LAB.A	LAB.B	med15.A	med15.B	WY7.A	WY7.B	WY15.A	WY15.B	WY23.A	WY23.B	
YER081W	5284	4988	9086	8920	4010	4669	4428	5768	4783	5038	
YER082C	3343	3137	4581	4723	2243	2315	4314	2821	3014	3031	
YER083C	3740	3494	3459	3456	2944	2863	3795	3309	3050	3267	
YER084W	1151	1036	1420	1434	866	844	913	1142	808	902	
YER084W-A	37	35	63	56	35	28	35	37	28	34	
YER085C	138	199	121	110	134	142	271	146	223	213	
YER086W	15460	15607	22659	20663	12192	14110	17089	13372	15559	16538	
YER087W	1018	878	1121	1168	669	580	899	951	706	745	
YER087C-A	69	51	47	47	51	58	71	53	49	51	
YER087C-B	3854	3401	2277	2501	3014	3139	3677	3715	3435	3447	
YER088C	26772	31105	21169	24182	24845	22328	26605	24031	24294	25618	
YER088C-A	239	257	631	534	212	207	276	249	189	237	
YER088W-B	20	23	8	4	21	17	19	27	21	9	
YER089C	4568	4410	6533	5826	3467	3108	4845	4227	3957	4245	
YER090W	11940	9761	12550	11982	8665	9315	10962	10855	10130	10772	
YER090C-A	1	2	1	2	1	4	0	1	3	2	
YER091C	61542	56016	33444	27225	42439	48622	67967	52527	61426	67990	
YER091C-A	4	5	3	3	8	2	3	1	4	3	
YER092W	2673	2128	2157	2041	1704	1775	2429	2448	2050	1990	
YER093C	1882	1983	2746	3031	1377	1070	1993	1826	1592	1600	
YER093C-A	749	837	948	980	576	525	724	642	598	653	
YER094C	7778	7194	7620	8308	5473	6242	7839	6948	6474	6912	
YER095W	532	611	1811	1893	376	278	474	534	442	455	
YER096W	947	818	1920	1928	774	615	615	804	669	631	
YER097W	46	68	83	88	47	51	70	62	65	64	
YER098W	2968	3009	2634	2916	2209	2313	2516	2643	2439	2623	
YER099C	4225	4400	3875	4306	3235	2993	4112	3781	3326	3327	
YER100W	3503	4053	3875	4767	2681	3127	4359	3558	3674	3986	
YER101C	2882	2170	3904	4318	2039	1950	2621	2878	2084	2210	
YER102W	3456	5042	5294	5583	3254	3357	6245	3032	4021	3870	
YER103W	12456	9629	13471	17633	8936	11445	14347	11852	12300	15049	
YER104W	1629	1566	1747	1872	1176	1281	1576	1351	1358	1450	
YER105C	4639	4138	6058	6297	3109	2928	4468	4081	3765	3608	
YER106W	375	296	731	836	190	198	454	397	286	326	
